date,season,home_team,away_team,home_goals,away_goals,result,home_shots,away_shots,home_shots_target,away_shots_target
2021-05-12,2021,Schalke 04,Hertha,1,2,A,12.0,18.0,1.0,6.0
2021-05-15,2021,Schalke 04,Ein Frankfurt,4,3,H,11.0,24.0,6.0,9.0
2021-05-15,2021,M'gladbach,Stuttgart,1,2,A,9.0,11.0,4.0,7.0
2021-05-15,2021,Leverkusen,Union Berlin,1,1,D,9.0,15.0,4.0,6.0
2021-05-15,2021,Augsburg,Werder Bremen,2,0,H,15.0,16.0,7.0,5.0
2021-05-15,2021,Freiburg,Bayern Munich,2,2,D,13.0,16.0,4.0,6.0
2021-05-15,2021,Bielefeld,Hoffenheim,1,1,D,17.0,7.0,6.0,3.0
2021-05-15,2021,Hertha,FC Koln,0,0,D,1.0,11.0,1.0,3.0
2021-05-16,2021,Mainz,Dortmund,1,3,A,9.0,13.0,5.0,4.0
2021-05-16,2021,RB Leipzig,Wolfsburg,2,2,D,14.0,12.0,4.0,4.0
2021-05-22,2021,Union Berlin,RB Leipzig,2,1,H,11.0,17.0,5.0,7.0
